x,median,lower,upper,minimum,maximum
1,1,1,1.0207778326708186,0.9749862827673853,1.0957547907601797
2,1.0112831288389195,1,1.0269053856164787,0.9769229372151564,1.1140864515652835
3,1.0130582146989067,1.0017798384025611,1.0291330132250036,0.9790789376200579,1.123976211923721
4,1.0138713024935457,1.0030808891889187,1.0296559629128703,0.9696427188351997,1.107553411325241
5,1.0152748972100623,1.0043034860284168,1.030468804456386,0.9767306421797424,1.1206300088538121
6,1.0147101190807515,1.0043188763567907,1.0310847794133693,0.9794078131648383,1.119818256898567
7,1.0158117751830336,1.0046930956016065,1.0315711447746412,0.980727214597379,1.1300528557603817
8,1.0168455283582412,1.0050964353065024,1.0324209181436308,0.97716581252684,1.1049993199362067
9,1.017243516414575,1.0056683154085975,1.0332753824965248,0.9663816668771544,1.1567467737019792
10,1.0198492333189417,1.0062407541004228,1.0351652506909017,0.9806566351955404,1.1455410686041085
